tx_out,datetime_out,tx_in,datetime_in,asset,amount,base_price,actual_costs,actual_proceeds,gains_short_term,gains_long_term
,,29,2021-03-25T01:37:35Z,USDT,0.06636544,0.8539422296895722,0.0,,0.05667225180792952,
,,30,2021-03-25T02:53:55Z,ADA,0.00180071,0.9148669786236345,0.0,,0.001647410117077365,
31,2021-03-25T05:26:15Z,3,2021-03-18T12:43:12Z,USDT,-49.98034932,0.8377793208983956,41.87250311157419,42.38195670430683,0.5094535927326405,
,,31,2021-03-25T05:26:15Z,BTC,0.00094605,44798.854927653745,42.38195670430683,,,
,,32,2021-03-26T00:31:34Z,ADA,0.00786732,0.9583069197985559,0.0,,0.007539307196269575,
,,33,2021-03-26T01:34:48Z,USDT,0.05411322,0.8493650743158089,0.0,,0.04596187912676771,
,,34,2021-03-26T01:59:19Z,ADA,0.00180103,0.950344431159456,0.0,,0.0017115988308511148,
35,2021-03-26T15:53:15Z,3,2021-03-18T12:43:12Z,USDT,-0.0,0.8377793208983956,0.0,0.0,,
35,2021-03-26T15:53:15Z,12,2021-03-22T00:49:32Z,TRX,-353.1,0.051795911207600735,18.28913624740382,18.813549416818926,0.5244131694151051,
,,35,2021-03-26T15:53:15Z,USDT,22.11370316,0.8507643102874556,18.813549416818926,,,
36,2021-03-26T17:11:00Z,12,2021-03-22T00:49:32Z,TRX,-0.0,0.051795911207600735,0.0,0.0,,
36,2021-03-26T17:11:00Z,3,2021-03-18T12:43:12Z,USDT,-22.112982,0.8377793208983956,18.525799042998443,18.778825817215296,0.2530267742168526,
,,36,2021-03-26T17:11:00Z,TRX,344.2554,0.05454911039076016,18.778825817215296,,,
37,2021-03-26T19:44:18Z,3,2021-03-18T12:43:12Z,USDT,-0.0,0.8377793208983956,0.0,0.0,,
37,2021-03-26T19:44:18Z,12,2021-03-22T00:49:32Z,TRX,-35.610900000000015,0.051795911207600735,1.8444990144227498,1.9151352936170942,0.07063627919434445,
37,2021-03-26T19:44:18Z,15,2021-03-22T05:29:00Z,TRX,-313.0891,0.0530659994700404,16.614386014675425,16.837765556523745,0.22337954184832043,
,,37,2021-03-26T19:44:18Z,USDT,21.9461319,0.8544968623897152,18.75290085014084,,,
38,2021-03-26T20:20:30Z,15,2021-03-22T05:29:00Z,TRX,-0.0,0.0530659994700404,0.0,0.0,,
38,2021-03-26T20:20:30Z,3,2021-03-18T12:43:12Z,USDT,-21.941864,0.8377793208983956,18.382439921164952,18.622915570740147,0.2404756495751954,
,,38,2021-03-26T20:20:30Z,TRX,341.8578,0.05447561989441267,18.622915570740147,,,
39,2021-03-26T20:21:18Z,3,2021-03-18T12:43:12Z,USDT,-0.0,0.8377793208983956,0.0,0.0,,
39,2021-03-26T20:21:18Z,15,2021-03-22T05:29:00Z,TRX,-4.492999999999995,0.0530659994700404,0.23842553561889124,0.24441405111911857,0.005988515500227332,
39,2021-03-26T20:21:18Z,36,2021-03-26T17:11:00Z,TRX,-166.407,0.05454911039076016,9.077353812795225,9.052350101174985,-0.025003711620239955,
,,39,2021-03-26T20:21:18Z,USDT,10.924955109999999,0.8509658903572469,9.296764152294104,,,
40,2021-03-26T20:23:19Z,3,2021-03-18T12:43:12Z,USDT,-0.0,0.8377793208983956,0.0,0.0,,
40,2021-03-26T20:23:19Z,36,2021-03-26T17:11:00Z,TRX,-171.0,0.05454911039076016,9.327897876819987,9.294439067378294,-0.03345880944169366,
,,40,2021-03-26T20:23:19Z,USDT,10.94159745,0.8494590584100034,9.294439067378294,,,
41,2021-03-26T20:29:46Z,3,2021-03-18T12:43:12Z,USDT,-50.6908695,0.8377793208983956,42.46776222545919,43.03149253025198,0.5637303047927915,
,,41,2021-03-26T20:29:46Z,BTT,15089.895,0.00285167607397215,43.03149253025198,,,
,,42,2021-03-27T00:30:28Z,ADA,0.00786732,1.0357609264391867,0.0,,0.008148662651793544,
,,43,2021-03-27T01:38:54Z,USDT,0.04596455,0.848740029854059,0.0,,0.03901195353922839,
,,44,2021-03-27T02:04:52Z,ADA,0.00180172,1.0180065134600984,0.0,,0.0018341626954313285,
45,2021-03-27T05:29:31Z,3,2021-03-18T12:43:12Z,USDT,-0.0,0.8377793208983956,0.0,0.0,,
45,2021-03-27T05:29:31Z,21,2021-03-23T05:19:31Z,TFUEL,-0.8520000000000039,0.3640394183109378,0.3101615844009204,0.2909830885268568,-0.019178495874063617,
45,2021-03-27T05:29:31Z,27,2021-03-24T20:40:06Z,TFUEL,-52.147999999999996,0.33266311089442463,17.347715906922453,17.81007758274467,0.46236167582221555,
,,45,2021-03-27T05:29:31Z,USDT,21.29200069,0.850134326727355,18.101060671271526,,,
46,2021-03-27T05:29:47Z,9,2021-03-21T18:06:10Z,THETA,-0.0,7.8992745153607,0.0,0.0,,
46,2021-03-27T05:29:47Z,3,2021-03-18T12:43:12Z,USDT,-20.890059,0.8377793208983956,17.50125944254742,17.74818080936595,0.24692136681853327,
,,46,2021-03-27T05:29:47Z,THETA,1.6983,10.450556915365926,17.74818080936595,,,
47,2021-03-27T12:18:46Z,9,2021-03-21T18:06:10Z,THETA,-0.0,7.8992745153607,0.0,0.0,,
47,2021-03-27T12:18:46Z,3,2021-03-18T12:43:12Z,USDT,-24.15,0.8377793208983956,20.232370599696253,20.496433583251278,0.264062983555025,
,,47,2021-03-27T12:18:46Z,THETA,2.0979,9.769976444659553,20.496433583251278,,,
48,2021-03-27T20:56:01Z,3,2021-03-18T12:43:12Z,USDT,-50.21582,0.8377793208983956,42.06977557795607,42.59006119161172,0.5202856136556449,
,,48,2021-03-27T20:56:01Z,AUDIO,11.5884,3.6752322315083807,42.59006119161172,,,
,,49,2021-03-28T00:31:25Z,ADA,0.00786732,0.9920724596419375,0.0,,0.007804951503190208,
,,50,2021-03-28T01:16:29Z,USDT,0.03778348,0.84795816905727,0.0,,0.03203881052141198,
,,51,2021-03-28T01:21:21Z,BTC,3e-8,47382.53871761752,0.0,,0.0014214761615285254,
,,52,2021-03-28T01:52:57Z,ADA,0.00180211,1.0034216905417228,0.0,,0.0018082762627421442,
,,53,2021-03-29T01:18:20Z,ADA,0.00786732,1.0032926740367394,0.0,,0.007893224520302722,
,,54,2021-03-29T01:48:40Z,BTC,3e-8,46790.671310112535,0.0,,0.001403720139303376,
,,55,2021-03-29T01:56:22Z,ADA,0.00180249,1.0033296819598727,0.0,,0.001808491718435851,
,,56,2021-03-29T02:01:40Z,USDT,0.03779114,0.8487365441931544,0.0,,0.03207472156471968,
57,2021-03-29T13:08:47Z,3,2021-03-18T12:43:12Z,USDT,-70.80723788,0.8377793208983956,59.32083966579755,60.02446103530365,0.7036213695061022,
57,2021-03-29T13:08:47Z,8,2021-03-21T03:53:04Z,USDT,-0.07420718,0.8423518509272273,0.06250855542508992,0.06290664793334493,0.0003980925082550102,
57,2021-03-29T13:08:47Z,13,2021-03-22T01:22:55Z,USDT,-0.06598768,0.843729596941603,0.055675758649511485,0.05593884249068926,0.0002630838411777775,
57,2021-03-29T13:08:47Z,17,2021-03-22T21:22:47Z,USDT,-29.04656726,0.8369735167843866,24.311207550116425,24.623253171688283,0.31204562157185833,
,,57,2021-03-29T13:08:47Z,IOTA,67.932,1.2478148692430073,84.76655969741597,,,
,,58,2021-03-30T01:18:26Z,ADA,0.00786732,1.0161959986195748,0.0,,0.007994739103859753,
,,59,2021-03-30T01:37:49Z,USDT,0.02138895,0.8486339382858349,0.0,,0.018151388874298808,
,,60,2021-03-30T01:41:52Z,ADA,0.00180288,1.0143384658744659,0.0,,0.001828730533355757,
,,61,2021-03-30T01:51:06Z,TRX,0.00743441,0.05473860686338616,0.0,,0.0004069492462512267,
,,62,2021-03-30T02:02:01Z,BTC,3e-8,48592.23471979941,0.0,,0.0014577670415939822,
,,63,2021-03-30T06:52:21Z,THETA,0.00001693,10.958382689955712,0.0,,0.0001855254189409502,
,,64,2021-03-31T01:18:35Z,ADA,0.00786732,1.0296719055626125,0.0,,0.008100758376070853,
,,65,2021-03-31T01:43:18Z,USDT,0.02139516,0.8552979855713478,0.0,,0.01829923724897668,
,,66,2021-03-31T01:53:43Z,ADA,0.00180326,1.0301290890490813,0.0,,0.0018575905811186464,
,,67,2021-03-31T01:59:54Z,THETA,0.00001693,11.093078578910161,0.0,,0.00018780582034094901,
,,68,2021-03-31T02:06:12Z,TRX,0.00743441,0.05767585941471868,0.0,,0.0004287859859913787,
,,69,2021-03-31T02:09:48Z,BTC,3e-8,50213.226993131764,0.0,,0.0015063968097939527,
70,2021-03-31T07:55:15Z,17,2021-03-22T21:22:47Z,USDT,-0.0,0.8369735167843866,0.0,0.0,,
70,2021-03-31T07:55:15Z,36,2021-03-26T17:11:00Z,TRX,-6.848399999999998,0.05454911039076016,0.37357412760008174,0.412871179574262,0.039297051974180264,
70,2021-03-31T07:55:15Z,38,2021-03-26T20:20:30Z,TRX,-259.35159999999996,0.05447561989441267,14.128339180607755,15.635593863745136,1.507254683137381,
,,70,2021-03-31T07:55:15Z,USDT,18.838750389999998,0.8518858581956826,16.0484650433194,,,
71,2021-03-31T07:55:15Z,17,2021-03-22T21:22:47Z,USDT,-0.0,0.8369735167843866,0.0,0.0,,
71,2021-03-31T07:55:15Z,38,2021-03-26T20:20:30Z,TRX,-82.5,0.05447561989441267,4.494238641289045,4.973697844003946,0.47945920271490117,
,,71,2021-03-31T07:55:15Z,USDT,5.83680735,0.8521264358680515,4.973697844003946,,,
72,2021-03-31T08:38:52Z,38,2021-03-26T20:20:30Z,TRX,-0.0,0.05447561989441267,0.0,0.0,,
72,2021-03-31T08:38:52Z,17,2021-03-22T21:22:47Z,USDT,-1.7448634900000002,0.8369735167843866,1.4604045315339784,1.4890950412716009,0.02869050973762244,
72,2021-03-31T08:38:52Z,18,2021-03-23T01:45:33Z,USDT,-0.06598868,0.8405142319131068,0.05546442468515979,0.056315818819762484,0.0008513941346026954,
72,2021-03-31T08:38:52Z,23,2021-03-24T01:43:41Z,USDT,-0.06633048,0.8447039725141556,0.056029619954770744,0.056607516530227296,0.0005778965754565518,
72,2021-03-31T08:38:52Z,25,2021-03-24T19:15:57Z,USDT,-22.79781735,0.8669904482869184,19.765489884239784,19.456030206523874,-0.30945967771591043,
,,72,2021-03-31T08:38:52Z,TRX,352.1475,0.05979894386058531,21.058048583145464,,,
73,2021-03-31T16:31:19Z,25,2021-03-24T19:15:57Z,USDT,-0.0,0.8669904482869184,0.0,0.0,,
73,2021-03-31T16:31:19Z,38,2021-03-26T20:20:30Z,TRX,-0.006200000000035288,0.05447561989441267,0.0003377488433472809,0.0004469309106007945,0.00010918206725351356,
73,2021-03-31T16:31:19Z,61,2021-03-30T01:51:06Z,TRX,-0.00743441,0.05473860686338616,0.0004069492462512267,0.000535914134042055,0.00012896488779082829,
73,2021-03-31T16:31:19Z,68,2021-03-31T02:06:12Z,TRX,-0.00743441,0.05767585941471868,0.0004287859859913787,0.000535914134042055,0.00010712814805067627,
73,2021-03-31T16:31:19Z,72,2021-03-31T08:38:52Z,TRX,-352.07893118000004,0.05979894386058531,21.053948240127703,25.37983182495746,4.325883584829757,
,,73,2021-03-31T16:31:19Z,USDT,29.53627116,0.8593281950400452,25.38135058413614,,,
